year,Bharatiya Janata Party,BJP predecessor,Indian National Congress,Congress faction,Other,sum
1962,0,0,73.37662338,0,26.62337662,100
1967,0,0.595238095,55.35714286,0,44.04761905,100
1972,0,1.785714286,83.33333333,9.523809524,5.357142857,100
1975,0,9.944751381,41.43646409,30.93922652,17.67955801,100
1980,4.945054945,0,0,77.47252747,17.58241758,100
1985,6.043956044,0,81.86813187,0,12.08791209,100
1990,36.81318681,0,18.13186813,0,45.05494505,100
1995,66.48351648,0,24.72527473,0,8.791208791,100
1998,64.28571429,0,29.12087912,0,6.593406593,100
2002,69.78021978,0,28.02197802,0,2.197802198,100
2007,63.73626374,0,32.41758242,0,3.846153846,100
2012,63.18681319,0,33.51648352,0,3.296703297,100
